ID,NOM,PAYS,REGION,APPELLATION,PRODUCTEUR,ANNEE
36,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,1989
37,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2011
38,Domaine de La Romanée-Conti,France,Burgundy,Grands-Échezeaux Grand Cru,Domaine de La Romanée-Conti,2010
39,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2012
40,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2010
41,Promontory,United States,Napa Valley,Promontory,Promontory,2014
42,Quinta do Crasto,Portugal,Portuguese,Vinha Maria Teresa,Quinta do Crasto,2017
43,Domaine de La Romanée-Conti,France,Burgundy,Grands-Échezeaux Grand Cru,Domaine de La Romanée-Conti,2015
44,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2016
45,Giacomo Conterno,Italy,Italian,Barolo Cascina Francia,Giacomo Conterno,2016
46,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2013
47,Dominio de Pingus,Spain,Spanish,Pingus,Dominio de Pingus,2016
48,Château Pavie,France,Bordeaux Right Bank,Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Pavie,2015
49,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2014
50,Domaine de La Romanée-Conti,France,Burgundy,Échezeaux Grand Cru,Domaine de La Romanée-Conti,2017
51,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Saint-Vivant Grand Cru (Marey-Monge),Domaine de La Romanée-Conti,2015
52,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Conti Grand Cru,Domaine de La Romanée-Conti,1978
53,Casanova di Neri,Italy,Italian,Cerretalto Brunello di Montalcino,Casanova di Neri,2016
54,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2003
55,Domaine de La Romanée-Conti,France,Burgundy,La Tâche Grand Cru,Domaine de La Romanée-Conti,2017
56,Domaine de La Romanée-Conti,France,Burgundy,Grands-Échezeaux Grand Cru,Domaine de La Romanée-Conti,2017
57,E. Guigal,France,Northern Rhône,Côte-Rôtie La Mouline,E. Guigal,2003
58,Domaine Armand Rousseau,France,Burgundy,Chambertin Grand Cru,Domaine Armand Rousseau,1996
59,Domaine de La Romanée-Conti,France,Burgundy,Échezeaux Grand Cru,Domaine de La Romanée-Conti,2015
60,Domaine de La Romanée-Conti,France,Burgundy,Romanée-Saint-Vivant Grand Cru (Marey-Monge),Domaine de La Romanée-Conti,2017
61,E. Guigal,France,Northern Rhône,Côte-Rôtie La Mouline,E. Guigal,1995
62,Domaine Armand Rousseau,France,Burgundy,Chambertin Grand Cru,Domaine Armand Rousseau,2010
63,Le Pin,France,Bordeaux Right Bank,Pomerol,Le Pin,1990
64,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2015
65,E. Guigal,France,Northern Rhône,Côte-Rôtie La Mouline,E. Guigal,1990
66,Giacomo Conterno,Italy,Italian,Barolo Riserva Monfortino,Giacomo Conterno,2015
67,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2016
68,Domaine Armand Rousseau,France,Burgundy,Chambertin Grand Cru,Domaine Armand Rousseau,2015
69,Domaine de La Romanée-Conti,France,Burgundy,Grands-Échezeaux Grand Cru,Domaine de La Romanée-Conti,2018
70,Domaine de La Romanée-Conti,France,Burgundy,Richebourg Grand Cru,Domaine de La Romanée-Conti,2013
